Subject,Averages,State
Biology,2.766428571,California
Calculus AB,2.861428571,California
Chinese,2.220714286,California
Music Theory,2.132142857,California
Statistics,2.615,California
3-D Design,1.874285714,California
Biology,2.615,Florida
Calculus AB,2.740714286,Florida
Chinese,1.49,Florida
Music Theory,2.092857143,Florida
Statistics,2.283571429,Florida
3-D Design,2.172857143,Florida
Biology,2.242142857,Illinois
Calculus AB,2.34,Illinois
Chinese,1.782857143,Illinois
Music Theory,2.152142857,Illinois
Statistics,2.415,Illinois
3-D Design,1.777857143,Illinois
Biology,2.560714286,Massachuesetts
Calculus AB,2.26,Massachuesetts
Chinese,1.828571429,Massachuesetts
Music Theory,2.429285714,Massachuesetts
Statistics,2.356428571,Massachuesetts
3-D Design,1.267857143,Massachuesetts
Biology,2.560714286,New York
Calculus AB,2.26,New York
Chinese,1.828571429,New York
Music Theory,2.429285714,New York
Statistics,2.356428571,New York
3-D Design,1.267857143,New York
Biology,2.725,Texas
Calculus AB,2.568571429,Texas
Chinese,1.754285714,Texas
Music Theory,2.119285714,Texas
Statistics,2.643571429,Texas
3-D Design,2.031428571,Texas
