Subject,Exams,State
Biology,18800,California
Calculus AB,57352,California
Chinese,8328,California
Music Theory,4007,California
Statistics,32332,California
3-D Design,606,California
Biology,57795,Florida
Calculus AB,56206,Florida
Chinese,2071,Florida
Music Theory,3376,Florida
Statistics,40379,Florida
3-D Design,1351,Florida
Biology,92073,Illinois
Calculus AB,61950,Illinois
Chinese,2048,Illinois
Music Theory,4628,Illinois
Statistics,58321,Illinois
3-D Design,2268,Illinois
Biology,69312,Massachuesetts
Calculus AB,70088,Massachuesetts
Chinese,554,Massachuesetts
Music Theory,4440,Massachuesetts
Statistics,42366,Massachuesetts
3-D Design,1555,Massachuesetts
Biology,22836,New York
Calculus AB,55063,New York
Chinese,852,New York
Music Theory,2413,New York
Statistics,45994,New York
3-D Design,260,New York
Biology,260816,Texas
Calculus AB,300659,Texas
Chinese,13853,Texas
Music Theory,18864,Texas
Statistics,219392,Texas
3-D Design,6040,Texas
