State,Ethnicity,Students
California,American Indian/Alaska Native,1209
California,Asian,215471
California,Black,18192
California,Hispanic/Latino,308643
California,Native Hawaiian/Oth Pacf Isl,2190
California,White,193157
California,Two or more races,40849
Florida,American Indian/Alaska Native,777
Florida,Asian,33284
Florida,Black,34458
Florida,Hispanic/Latino,137885
Florida,Native Hawaiian/Oth Pacf Isl,426
Florida,White,165520
Florida,Two or more races,16476
Illinois,American Indian/Alaska Native,237
Illinois,Asian,34063
Illinois,Black,14721
Illinois,Hispanic/Latino,55116
Illinois,Native Hawaiian/Oth Pacf Isl,91
Illinois,White,118202
Illinois,Two or more races,8425
Massachusetts,American Indian/Alaska Native,141
Massachusetts,Asian,19682
Massachusetts,Black,6237
Massachusetts,Hispanic/Latino,12904
Massachusetts,Native Hawaiian/Oth Pacf Isl,39
Massachusetts,White,78947
Massachusetts,Two or more races,4917
New York,American Indian/Alaska Native,252
New York,Asian,22349
New York,Black,11691
New York,Hispanic/Latino,24496
New York,Native Hawaiian/Oth Pacf Isl,135
New York,White,57547
New York,Two or more races,4497
Texas,American Indian/Alaska Native,1395
Texas,Asian,89820
Texas,Black,36574
Texas,Hispanic/Latino,258167
Texas,Native Hawaiian/Oth Pacf Isl,537
Texas,White,183001
Texas,Two or more races,19298
