Art History,2905,6025,6515,6036,2995,24476
Biology,18800,57795,92073,69312,22836,260816
Calculus AB,57352,56206,61950,70088,55063,300659
Calculus BC,59797,25720,27166,19303,7209,139195
Chemistry,18220,26393,43646,36537,34051,158847
Chinese Language,8328,2071,2048,554,852,13853
Computer Science A,18583,15275,14660,8320,12847,69685
Computer Science Principles,13219,20205,35635,18066,8980,96105
Economics - Macro,27899,33586,24619,21706,38281,146091
Economics - Micro,22240,25706,15792,10986,16827,91551
English Language,56534,104309,150303,179016,83009,573171
English Literature,23508,59648,105635,130358,60987,380136
Environmental Science,16192,44333,24348,43816,43767,172456
European History,11797,20604,26088,29568,12598,100655
French Language,3742,5880,8304,4228,1095,23249
German Language ,1082,1247,1403,1007,421,5160
Government & Politics Comparative,5264,5747,4506,4405,3600,23522
Government & Politics United States,40633,39135,93713,78210,63134,314825
Human Geography,24373,41004,45253,37707,76898,225235
Italian Language,362,480,915,654,247,2658
Japanese Language,1122,307,536,192,322,2479
Latin ,793,1174,1858,1467,791,6083
Music Theory,4007,3376,4628,4440,2413,18864
Physics 1,10750,29358,33063,46160,41740,161071
Physics 2,3380,4993,7188,6237,2004,23802
Physics C E&M,9532,5725,3230,4212,2643,25342
Physics C Mechanics,21517,15268,9924,5710,4712,57131
Psychology,63772,78748,58189,41962,68544,311215
Research,1686,3492,6759,3065,722,15724
Seminar,3077,6538,25605,7223,998,43441
Spanish Language ,47067,64020,54931,17744,3371,187133
Spanish Literature,2793,7342,11070,6283,1857,29345
Statistics,32332,40379,58321,42366,45994,219392
Studio Art Drawing,4519,7257,8052,1701,240,21769
Studio Art 2-D Design,7918,11887,12820,4061,1063,37749
Studio Art 3-D Design,606,1351,2268,1555,260,6040
United States History,58638,91491,116350,109249,120845,496573
World History,26852,58943,87585,90354,49583,313317
